Openness,Conscientiousness,Extraversion,Agreeableness,Emotional Stability,Trait1,Trait2,Trait3,Trait4,Trait5
1.5722699372464706,0.0411222575848752,0.7565378975473469,3.3696911418524094,3.47579329411015,Practical and Down-to-Earth,Impulsive and Disorganized,Very Reserved and Shy,Compassionate and Friendly,Emotionally Stable and Relaxed
4.0859438558377015,3.4325398536260723,2.7625283911541043,3.4711907115619676,0.6664734085690949,Highly Creative and Imaginative,Disciplined and Responsible,Moderately Extraverted,Compassionate and Friendly,Very Anxious and Reactive
3.311912610971789,3.364266145660078,4.1743501108492715,2.8168617280328063,0.9231958491858872,Creative and Curious,Disciplined and Responsible,Very Sociable and Outgoing,Moderately Agreeable,Very Anxious and Reactive
1.4236244530357423,0.9237007953091908,2.4700910270850103,3.4720182680386484,0.853531020883258,Practical and Down-to-Earth,Impulsive and Disorganized,Moderately Extraverted,Compassionate and Friendly,Very Anxious and Reactive
1.2862085718633671,1.2426886554968668,4.501166004793385,3.2742237323913423,1.0187590884444124,Practical and Down-to-Earth,Carefree and Spontaneous,Very Sociable and Outgoing,Compassionate and Friendly,Anxious and Sensitive
0.6123437893497036,4.625344811968302,0.8795609434148349,0.009809079405898036,2.5688110147423817,Conventional and Traditional,Highly Disciplined and Organized,Very Reserved and Shy,Very Assertive and Competitive,Moderately Emotionally Stable
0.18405036509753614,4.745542779208853,2.8919984061640944,2.8834458360131014,4.8245500500531495,Conventional and Traditional,Highly Disciplined and Organized,Moderately Extraverted,Moderately Agreeable,Very Emotionally Stable and Calm
2.2433276799837047,4.986625778490276,3.450374895595389,0.08960826036676528,4.309584655913705,Moderately Open to New Experiences,Highly Disciplined and Organized,Sociable and Energetic,Very Assertive and Competitive,Very Emotionally Stable and Calm
3.587196864265164,4.732878836620294,2.49734178027067,0.5286849530026849,1.6765680411462658,Creative and Curious,Highly Disciplined and Organized,Moderately Extraverted,Very Assertive and Competitive,Anxious and Sensitive
0.4186294148606806,2.8524912683462444,0.3640357919062226,1.080367180250854,2.4970771684240645,Conventional and Traditional,Moderately Conscientious,Very Reserved and Shy,Assertive and Tough-minded,Moderately Emotionally Stable
4.521631331442028,3.6057523673907372,3.472659916472134,2.11892563640049,1.4288620367002465,Highly Creative and Imaginative,Disciplined and Responsible,Sociable and Energetic,Moderately Agreeable,Anxious and Sensitive
3.3213822913267887,1.02697279425766,0.5846830416105503,3.6138375102930533,3.011138099404697,Creative and Curious,Carefree and Spontaneous,Very Reserved and Shy,Compassionate and Friendly,Emotionally Stable and Relaxed
4.692550376001079,4.386540856558891,4.160580489919775,1.1179026586427248,3.337952506412007,Highly Creative and Imaginative,Highly Disciplined and Organized,Very Sociable and Outgoing,Assertive and Tough-minded,Emotionally Stable and Relaxed
1.3351341349264074,2.261235162155843,2.1398294076231457,3.0148692931812255,3.9339188898006183,Practical and Down-to-Earth,Moderately Conscientious,Moderately Extraverted,Compassionate and Friendly,Emotionally Stable and Relaxed
2.5637563766672122,1.0374965432281735,0.5256972003147548,4.612221162262247,2.3059587454118464,Moderately Open to New Experiences,Carefree and Spontaneous,Very Reserved and Shy,Highly Compassionate and Empathetic,Moderately Emotionally Stable
4.13762350015335,1.8939318239530223,1.591761913860399,2.425698291535632,2.7727408549297605,Highly Creative and Imaginative,Carefree and Spontaneous,Reserved and Introverted,Moderately Agreeable,Moderately Emotionally Stable
1.8831113660037198,0.484601130207844,2.1780552523716343,4.070711234541945,4.280654248567366,Practical and Down-to-Earth,Impulsive and Disorganized,Moderately Extraverted,Highly Compassionate and Empathetic,Very Emotionally Stable and Calm
0.3116866479122016,3.193052912940356,0.5232541628857384,1.0870590206491664,3.7265796422694413,Conventional and Traditional,Disciplined and Responsible,Very Reserved and Shy,Assertive and Tough-minded,Emotionally Stable and Relaxed
3.2034702384517426,2.706412238882929,3.9261463438812934,2.7791846819242467,2.8736637392949014,Creative and Curious,Moderately Conscientious,Sociable and Energetic,Moderately Agreeable,Moderately Emotionally Stable
0.34735413158316686,0.9790577571841919,3.8366702419152636,1.7777376973302317,4.223362228505775,Conventional and Traditional,Impulsive and Disorganized,Sociable and Energetic,Assertive and Tough-minded,Very Emotionally Stable and Calm
4.699763203082852,4.255009385034295,0.9611097353806164,0.566549249906001,3.6302421696834437,Highly Creative and Imaginative,Highly Disciplined and Organized,Very Reserved and Shy,Very Assertive and Competitive,Emotionally Stable and Relaxed
2.9911123526072543,4.087611518868518,3.6995256880202736,1.01587299348175,2.434081872661689,Moderately Open to New Experiences,Highly Disciplined and Organized,Sociable and Energetic,Assertive and Tough-minded,Moderately Emotionally Stable
3.8422746030503436,4.554239464817843,2.622500087513257,0.6398853167470703,4.9093122468799875,Creative and Curious,Highly Disciplined and Organized,Moderately Extraverted,Very Assertive and Competitive,Very Emotionally Stable and Calm
2.2461043566313963,3.2095839928548724,3.7300077825259277,0.4338272338771537,0.18983310211752868,Moderately Open to New Experiences,Disciplined and Responsible,Sociable and Energetic,Very Assertive and Competitive,Very Anxious and Reactive
1.2013064581518795,0.9219366420428871,0.6708045623145903,0.4299973804300605,0.8813143672708396,Practical and Down-to-Earth,Impulsive and Disorganized,Very Reserved and Shy,Very Assertive and Competitive,Very Anxious and Reactive
0.8633727615592784,2.01276852470176,4.1208873858528605,4.6643127868753815,2.8185289792881916,Conventional and Traditional,Moderately Conscientious,Very Sociable and Outgoing,Highly Compassionate and Empathetic,Moderately Emotionally Stable
4.272236379103756,0.0892177747626155,3.702848327567966,4.335104014241456,2.3477010620783494,Highly Creative and Imaginative,Impulsive and Disorganized,Sociable and Energetic,Highly Compassionate and Empathetic,Moderately Emotionally Stable
2.2143460903042738,2.3556655953667778,2.724377686124022,1.5483564837064607,2.9553778427975628,Moderately Open to New Experiences,Moderately Conscientious,Moderately Extraverted,Assertive and Tough-minded,Moderately Emotionally Stable
1.6359647958100338,1.8357652885698945,3.4685141793417658,2.980462909655518,4.583507263895249,Practical and Down-to-Earth,Carefree and Spontaneous,Sociable and Energetic,Moderately Agreeable,Very Emotionally Stable and Calm
2.5323981830991653,2.3211108694631095,1.4935280268303668,3.3298139612168725,0.8185357964466233,Moderately Open to New Experiences,Moderately Conscientious,Reserved and Introverted,Compassionate and Friendly,Very Anxious and Reactive
4.98310272969812,0.9683704252355302,2.99926042797377,3.7969686723837848,0.6251616869103993,Highly Creative and Imaginative,Impulsive and Disorganized,Moderately Extraverted,Compassionate and Friendly,Very Anxious and Reactive
3.2181816506658176,4.121490872031564,3.6050716377163115,1.7984157567333114,2.0260197740470876,Creative and Curious,Highly Disciplined and Organized,Sociable and Energetic,Assertive and Tough-minded,Moderately Emotionally Stable
3.9638925738459956,1.5522820869298604,1.71103392199362,3.822372184570626,3.7119968429620953,Creative and Curious,Carefree and Spontaneous,Reserved and Introverted,Compassionate and Friendly,Emotionally Stable and Relaxed
0.03040587868789635,0.9329582407851322,1.873063222807111,4.365268728266317,3.3304783970272407,Conventional and Traditional,Impulsive and Disorganized,Reserved and Introverted,Highly Compassionate and Empathetic,Emotionally Stable and Relaxed
2.7149752254357433,2.5740024825060677,3.801637947846613,0.865690248865521,1.7996893922656425,Moderately Open to New Experiences,Moderately Conscientious,Sociable and Energetic,Very Assertive and Competitive,Anxious and Sensitive
1.055620516166712,3.011141830233586,4.746851400091633,1.1250215940428339,1.4878800177568978,Practical and Down-to-Earth,Disciplined and Responsible,Very Sociable and Outgoing,Assertive and Tough-minded,Anxious and Sensitive
2.725176400660313,2.2203400225441863,2.609131869849839,0.6586409163450485,0.18368643125294792,Moderately Open to New Experiences,Moderately Conscientious,Moderately Extraverted,Very Assertive and Competitive,Very Anxious and Reactive
0.7996212507864298,1.0257000077902152,3.940173901605528,0.4727384611718294,0.6129779342537528,Conventional and Traditional,Carefree and Spontaneous,Sociable and Energetic,Very Assertive and Competitive,Very Anxious and Reactive
2.5401146795233824,3.9332310756152955,0.4762763253400071,4.026570366922364,3.452921945444337,Moderately Open to New Experiences,Disciplined and Responsible,Very Reserved and Shy,Highly Compassionate and Empathetic,Emotionally Stable and Relaxed
3.155477230982526,4.581635386550883,2.5932293453375355,4.246002628676911,4.953544907866158,Creative and Curious,Highly Disciplined and Organized,Moderately Extraverted,Highly Compassionate and Empathetic,Very Emotionally Stable and Calm
2.280864588557878,0.9943728807557445,1.768797124689769,0.7982548219164737,0.5381570113192891,Moderately Open to New Experiences,Impulsive and Disorganized,Reserved and Introverted,Very Assertive and Competitive,Very Anxious and Reactive
1.0608370251190535,2.145737313389524,0.4912849431262595,4.101001169681041,1.3916476289886766,Practical and Down-to-Earth,Moderately Conscientious,Very Reserved and Shy,Highly Compassionate and Empathetic,Anxious and Sensitive
0.7051439125549713,2.3836228113389573,1.3259134822362189,1.4955706089318321,1.9991644455478603,Conventional and Traditional,Moderately Conscientious,Reserved and Introverted,Assertive and Tough-minded,Anxious and Sensitive
4.758989767169092,0.0794313170813088,0.33539342471160083,4.117663159730146,1.0838948600137988,Highly Creative and Imaginative,Impulsive and Disorganized,Very Reserved and Shy,Highly Compassionate and Empathetic,Anxious and Sensitive
4.238609130320816,1.5282606488116912,2.332896842418748,3.1627458641258355,3.2809228133077726,Highly Creative and Imaginative,Carefree and Spontaneous,Moderately Extraverted,Compassionate and Friendly,Emotionally Stable and Relaxed
2.015874833340967,0.8012819528091453,1.1668634467033878,1.732644334530734,4.121526188172453,Moderately Open to New Experiences,Impulsive and Disorganized,Reserved and Introverted,Assertive and Tough-minded,Very Emotionally Stable and Calm
2.3165712701385157,2.756956565186725,1.5296612649186359,4.927081071678195,3.2597669137557492,Moderately Open to New Experiences,Moderately Conscientious,Reserved and Introverted,Highly Compassionate and Empathetic,Emotionally Stable and Relaxed
2.7885541847572264,4.989552041695037,1.50069844540841,1.2495657908747804,3.2951582349678037,Moderately Open to New Experiences,Highly Disciplined and Organized,Reserved and Introverted,Assertive and Tough-minded,Emotionally Stable and Relaxed
3.539097469073523,4.035038930872185,4.37975030274659,1.533589542528706,2.3784261254104164,Creative and Curious,Highly Disciplined and Organized,Very Sociable and Outgoing,Assertive and Tough-minded,Moderately Emotionally Stable
1.9761870926468244,0.5392274511370282,3.8635754592214324,2.6510236285965574,0.43988168931704985,Practical and Down-to-Earth,Impulsive and Disorganized,Sociable and Energetic,Moderately Agreeable,Very Anxious and Reactive
0.08502934811586815,2.0145757109616795,0.30658295053876017,2.098711049544514,3.8268826404950627,Conventional and Traditional,Moderately Conscientious,Very Reserved and Shy,Moderately Agreeable,Emotionally Stable and Relaxed
2.621045405109792,3.665884550027061,3.438552009306968,3.802784167934772,0.10318873463554867,Moderately Open to New Experiences,Disciplined and Responsible,Sociable and Energetic,Compassionate and Friendly,Very Anxious and Reactive
1.2239408606033648,1.9910266544186117,1.0439460944928562,3.8269665370418626,4.910289344413912,Practical and Down-to-Earth,Carefree and Spontaneous,Reserved and Introverted,Compassionate and Friendly,Very Emotionally Stable and Calm
2.341069001415517,2.538560532259373,3.2085088431350823,0.7355229043042605,4.666205557585932,Moderately Open to New Experiences,Moderately Conscientious,Sociable and Energetic,Very Assertive and Competitive,Very Emotionally Stable and Calm
4.549331854971408,0.0046534839486317425,4.968299037583416,0.9068518323042585,3.1253724813702117,Highly Creative and Imaginative,Impulsive and Disorganized,Very Sociable and Outgoing,Very Assertive and Competitive,Emotionally Stable and Relaxed
3.320552528789131,2.1008693731551027,3.0500952390651443,1.072681863538898,3.034301166979594,Creative and Curious,Moderately Conscientious,Sociable and Energetic,Assertive and Tough-minded,Emotionally Stable and Relaxed
3.659493846068507,4.9621734110514755,4.833596310769252,0.8636570104126318,4.938106788853631,Creative and Curious,Highly Disciplined and Organized,Very Sociable and Outgoing,Very Assertive and Competitive,Very Emotionally Stable and Calm
2.864412942503736,3.164029259770573,0.8379363833380993,0.36993133154611113,3.7183385418336883,Moderately Open to New Experiences,Disciplined and Responsible,Very Reserved and Shy,Very Assertive and Competitive,Emotionally Stable and Relaxed
3.9080314276320345,3.796638582871715,0.9746159956648026,2.45921622329113,3.432526539317187,Creative and Curious,Disciplined and Responsible,Very Reserved and Shy,Moderately Agreeable,Emotionally Stable and Relaxed
2.412083689009554,4.891171990803898,3.956673040944766,2.4581001237324207,1.2182762703344685,Moderately Open to New Experiences,Highly Disciplined and Organized,Sociable and Energetic,Moderately Agreeable,Anxious and Sensitive
1.3189821558579236,0.08180138899046285,0.6423511186887998,2.870226429855309,2.886328081589426,Practical and Down-to-Earth,Impulsive and Disorganized,Very Reserved and Shy,Moderately Agreeable,Moderately Emotionally Stable
4.950660603915821,1.1824909269601747,1.685812345917586,3.8526801084821183,3.986218975495681,Highly Creative and Imaginative,Carefree and Spontaneous,Reserved and Introverted,Compassionate and Friendly,Emotionally Stable and Relaxed
2.044818384152636,3.0769677829056357,2.5649107572195824,0.6541875127035651,2.737128608852697,Moderately Open to New Experiences,Disciplined and Responsible,Moderately Extraverted,Very Assertive and Competitive,Moderately Emotionally Stable
4.956622613932957,3.38423181228943,0.7209762354088839,3.0823916047278748,0.8798560446638309,Highly Creative and Imaginative,Disciplined and Responsible,Very Reserved and Shy,Compassionate and Friendly,Very Anxious and Reactive
2.572730130493172,3.3347334729104725,4.828422094955986,1.4491907610453958,4.464796101695096,Moderately Open to New Experiences,Disciplined and Responsible,Very Sociable and Outgoing,Assertive and Tough-minded,Very Emotionally Stable and Calm
0.29794929010810545,3.203030728205049,4.291396528640784,0.5552938971756799,0.4683829256298172,Conventional and Traditional,Disciplined and Responsible,Very Sociable and Outgoing,Very Assertive and Competitive,Very Anxious and Reactive
0.056807393732310474,2.5286720821071724,1.33104389606447,3.564245154452597,1.6392593005780705,Conventional and Traditional,Moderately Conscientious,Reserved and Introverted,Compassionate and Friendly,Anxious and Sensitive
2.260284721810754,3.252971512739653,0.21129864277385557,3.3374116763163952,0.9827639283381606,Moderately Open to New Experiences,Disciplined and Responsible,Very Reserved and Shy,Compassionate and Friendly,Very Anxious and Reactive
2.387609076031289,0.7525560612951804,4.009988808196171,3.7014632350203684,0.7789935228412492,Moderately Open to New Experiences,Impulsive and Disorganized,Very Sociable and Outgoing,Compassionate and Friendly,Very Anxious and Reactive
0.6625048779561116,4.01878425339926,0.8360084604486995,1.5548888469309081,1.0371754581668124,Conventional and Traditional,Highly Disciplined and Organized,Very Reserved and Shy,Assertive and Tough-minded,Anxious and Sensitive
2.992896506920479,2.5365035327276737,4.373418522640189,1.3166222203856681,0.28608216210262494,Moderately Open to New Experiences,Moderately Conscientious,Very Sociable and Outgoing,Assertive and Tough-minded,Very Anxious and Reactive
1.5957340631173773,0.3818682907130305,2.3106837432645335,4.50548517344617,1.8791586152462485,Practical and Down-to-Earth,Impulsive and Disorganized,Moderately Extraverted,Highly Compassionate and Empathetic,Anxious and Sensitive
2.157848549953118,4.919942961479726,1.8968114343876674,2.3094418450758596,3.634648238976143,Moderately Open to New Experiences,Highly Disciplined and Organized,Reserved and Introverted,Moderately Agreeable,Emotionally Stable and Relaxed
2.0975094169204156,0.6883140902479806,4.964646802900058,2.8611255939959945,4.49860638922858,Moderately Open to New Experiences,Impulsive and Disorganized,Very Sociable and Outgoing,Moderately Agreeable,Very Emotionally Stable and Calm
1.0870895542370052,1.86290983694217,3.55185316954179,3.9533938197487912,3.380527369153251,Practical and Down-to-Earth,Carefree and Spontaneous,Sociable and Energetic,Compassionate and Friendly,Emotionally Stable and Relaxed
2.1422796366330683,0.25018661843979495,3.3011810046793104,4.770338799872864,2.992844169536199,Moderately Open to New Experiences,Impulsive and Disorganized,Sociable and Energetic,Highly Compassionate and Empathetic,Moderately Emotionally Stable
3.3675874038950133,2.0125642994211694,0.7335923794273908,2.189547303842999,0.6740909454237243,Creative and Curious,Moderately Conscientious,Very Reserved and Shy,Moderately Agreeable,Very Anxious and Reactive
4.551292548167738,3.339489768716154,0.9076403137556593,0.7745908178526867,1.6416427621005365,Highly Creative and Imaginative,Disciplined and Responsible,Very Reserved and Shy,Very Assertive and Competitive,Anxious and Sensitive
0.17654308258034268,3.575122054069487,2.4440411426225905,4.038013291072826,3.859331764264222,Conventional and Traditional,Disciplined and Responsible,Moderately Extraverted,Highly Compassionate and Empathetic,Emotionally Stable and Relaxed
3.3592889490105304,2.694032688088429,2.1647044745284787,1.3865559934554832,0.4767947160462721,Creative and Curious,Moderately Conscientious,Moderately Extraverted,Assertive and Tough-minded,Very Anxious and Reactive
0.4531383169064723,2.175046071323524,2.982643230885453,3.8852372163799833,3.680474136254088,Conventional and Traditional,Moderately Conscientious,Moderately Extraverted,Compassionate and Friendly,Emotionally Stable and Relaxed
4.557811019714157,4.980485705002313,2.5251347565550097,2.4188531089136593,1.5830381214172013,Highly Creative and Imaginative,Highly Disciplined and Organized,Moderately Extraverted,Moderately Agreeable,Anxious and Sensitive
0.09513500941398134,1.2778766154113264,4.291242374784896,4.6024970270623475,0.1854430955746239,Conventional and Traditional,Carefree and Spontaneous,Very Sociable and Outgoing,Highly Compassionate and Empathetic,Very Anxious and Reactive
0.11910485391812387,4.173988612649993,4.694939658908138,0.7744508524780408,0.06328333802577024,Conventional and Traditional,Highly Disciplined and Organized,Very Sociable and Outgoing,Very Assertive and Competitive,Very Anxious and Reactive
2.2719255637836455,2.974245629234212,4.990467472836825,4.821451708089258,2.6280380696873658,Moderately Open to New Experiences,Moderately Conscientious,Very Sociable and Outgoing,Highly Compassionate and Empathetic,Moderately Emotionally Stable
2.5369080577004106,4.692290285771646,1.3609921071214188,0.337360251894126,3.1463580231585055,Moderately Open to New Experiences,Highly Disciplined and Organized,Reserved and Introverted,Very Assertive and Competitive,Emotionally Stable and Relaxed
4.938623964645234,4.778409551445652,1.7928453912674336,1.1556718431264257,3.5041495910877396,Highly Creative and Imaginative,Highly Disciplined and Organized,Reserved and Introverted,Assertive and Tough-minded,Emotionally Stable and Relaxed
0.8542007578655886,4.836195290938722,1.0915820285057831,0.4764353937771898,2.1871503786772712,Conventional and Traditional,Highly Disciplined and Organized,Reserved and Introverted,Very Assertive and Competitive,Moderately Emotionally Stable
3.2067491008130924,2.0822655881994794,1.0142080501319128,3.9080660053988554,2.7947830479873503,Creative and Curious,Moderately Conscientious,Reserved and Introverted,Compassionate and Friendly,Moderately Emotionally Stable
2.548091295015414,2.059299532376313,1.1206290162425154,4.612916559696431,2.795986371439343,Moderately Open to New Experiences,Moderately Conscientious,Reserved and Introverted,Highly Compassionate and Empathetic,Moderately Emotionally Stable
